src_port,dst_port,duration,bytes_sent,bytes_received,packets,label,proto_tcp,proto_udp,kb_sent,kb_received,bytes_total,rate_packets,rate_bytes,src_port_privileged,dst_port_privileged
42065,14147,0.2888556243436048,275,355,4,port_scan,True,False,0.2685546875,0.3466796875,630,10.286594174257017,1620.1385824454803,0,0
48427,3389,1.4605754474843629,201,671,10,brute_force,True,False,0.1962890625,0.6552734375,872,6.407892688636062,558.7682424490646,0,0
48828,443,3.420831715577839,5019,7009,18,benign,True,False,4.9013671875,6.8447265625,12028,5.1124283845659,3416.2382560865917,0,1
3155,80,2.106226204333421,3970,12590,22,benign,True,False,3.876953125,12.294921875,16560,9.971778939434264,7506.029965319609,0,1
2723,445,0.963327544659019,704,535,4,brute_force,True,False,0.6875,0.5224609375,1239,3.7617759646042965,1165.210105036181,0,1
8253,22,0.5694678681686275,446,461,6,brute_force,True,False,0.435546875,0.4501953125,907,8.962342011145937,1354.807367351561,0,1
33631,45567,0.099555974032262,244,228,5,port_scan,True,False,0.23828125,0.22265625,472,25.055626744562684,2365.2511646867174,0,0
59740,123,1.0953511218810366,6073,15988,31,benign,False,True,5.9306640625,15.61328125,22061,25.933802572768382,18455.665114769137,0,1
57589,445,1.0441371836220124,979,745,6,brute_force,True,False,0.9560546875,0.7275390625,1724,5.244126391387534,1506.8123164586846,0,1
29504,3389,1.6631812138389592,212,94,8,brute_force,True,False,0.20703125,0.091796875,306,4.5372534242136515,173.54994347617216,0,0
9938,445,0.4541803235623597,879,488,9,brute_force,True,False,0.8583984375,0.4765625,1367,16.24020127987685,2466.706127732406,0,1
15925,3389,1.405039138138397,742,107,7,brute_force,True,False,0.724609375,0.1044921875,849,4.651041838459027,564.1049315502448,0,0
19441,80,2.1611385293294374,4644,17796,31,benign,True,False,4.53515625,17.37890625,22440,13.709907463826797,9924.203983492687,0,1
18320,445,0.8507100736188004,586,162,9,brute_force,True,False,0.572265625,0.158203125,748,9.466608432728849,786.7803452979088,0,1
11675,80,2.035830998854856,7707,5237,21,benign,True,False,7.5263671875,5.1142578125,12944,9.832238604673933,6060.404595185684,0,1
34421,9697,0.2923296560768028,206,45,1,port_scan,True,False,0.201171875,0.0439453125,251,2.548876906221535,639.7681034616053,0,0
64733,445,0.649341212204283,460,328,3,brute_force,True,False,0.44921875,0.3203125,788,4.003516623855662,1051.590366532754,0,1
30655,443,2.90203312894844,10187,18382,42,benign,False,True,9.9482421875,17.951171875,28569,13.990518490617681,9516.550541868013,0,1
43416,15251,0.278388549652348,44,48,4,port_scan,True,False,0.04296875,0.046875,92,10.571144406127193,243.1363213409254,0,0
61688,58910,0.2147005826559075,58,109,4,port_scan,True,False,0.056640625,0.1064453125,167,12.710494420576227,530.6631420590575,0,0
49939,5603,0.1351734656025613,299,286,2,port_scan,True,False,0.2919921875,0.279296875,585,8.504360791195559,2487.525531424701,0,0
33619,53,2.713613727260846,8121,10458,29,benign,False,True,7.9306640625,10.212890625,18579,10.307029610717937,6603.25183232857,0,1
14809,15825,0.1801167512226455,69,250,2,port_scan,True,False,0.0673828125,0.244140625,319,7.139880036700617,1138.8108658537485,0,0
42697,22,0.997092322485656,435,553,5,brute_force,True,False,0.4248046875,0.5400390625,988,4.557501586258136,900.5623134446076,0,1
20017,8443,0.5603096687952377,143,330,5,c2_beacon,True,False,0.1396484375,0.322265625,473,7.5722047340647105,716.3305678425216,0,0
54189,29538,0.2470496882278292,180,35,4,port_scan,True,False,0.17578125,0.0341796875,215,11.52572710964115,619.5078321432118,0,0
6379,443,2.353073069946801,1598,4029,8,benign,False,True,1.560546875,3.9345703125,5627,3.261215533287597,2293.8574757261636,0,1
27333,3389,0.8889579655070814,530,152,8,brute_force,True,False,0.517578125,0.1484375,682,8.089322578941012,689.6147498547213,0,0
14191,53,3.707864748849521,4621,13245,25,benign,False,True,4.5126953125,12.9345703125,17866,6.565359236446963,4691.868324734458,0,1
50924,3389,0.592048997456011,755,627,10,brute_force,True,False,0.7373046875,0.6123046875,1382,14.449843922554969,1996.9684300970966,0,0
2029,443,2.8415307808072208,5611,19147,34,benign,True,False,5.4794921875,18.6982421875,24758,11.55860758685301,8416.706077509023,0,1
12568,3389,0.3841672158897504,880,55,10,brute_force,True,False,0.859375,0.0537109375,935,20.654021321173257,1931.1509935296995,0,0
29837,123,4.169127249529801,5208,2838,13,benign,True,False,5.0859375,2.771484375,8046,3.045118882654953,1884.6943484493656,0,1
53409,443,3.115716400949071,7096,10923,27,benign,False,True,6.9296875,10.6669921875,18019,8.396262802289202,5603.41701609071,0,1
34479,80,1.7910259860620592,5685,12409,26,benign,False,True,5.5517578125,12.1181640625,18094,13.74915003370384,9568.350796532202,0,1
9971,443,2.925111096084608,2502,5889,12,benign,True,False,2.443359375,5.7509765625,8391,3.9667964642791342,2773.7824276471847,0,1
27649,8443,0.4024079820532008,392,271,8,c2_beacon,True,False,0.3828125,0.2646484375,663,15.923313891841923,1319.6446387863994,0,0
47583,22,1.5001269090051572,612,483,10,brute_force,True,False,0.59765625,0.4716796875,1095,6.24950430101652,684.3207209613089,0,1
63610,35255,0.2194833580220749,121,278,1,port_scan,True,False,0.1181640625,0.271484375,399,3.1300534907076583,1248.8913427923555,0,0
25933,55173,0.375032542783215,148,342,3,port_scan,True,False,0.14453125,0.333984375,490,6.315356801500386,1031.5082775783962,0,0
26705,443,1.9670688477209664,3509,2198,9,benign,True,False,3.4267578125,2.146484375,5707,4.353991406683378,2760.9143286602266,0,1
49118,16929,0.2256878732890602,162,173,1,port_scan,True,False,0.158203125,0.1689453125,335,3.0704244217053254,1028.5921812712838,0,0
45998,443,4.149812234067512,5765,10699,24,benign,False,True,5.6298828125,10.4482421875,16464,5.6473083228501855,3874.0535094752277,0,1
7351,443,2.468350500882377,388,1412,3,benign,False,True,0.37890625,1.37890625,1800,1.1680648723643157,700.8389234185894,0,1
43795,3389,0.6210082528489334,885,539,8,brute_force,True,False,0.8642578125,0.5263671875,1424,11.095573411801393,1975.012067300648,0,0
54672,53,3.119236173588998,5269,16883,31,benign,True,False,5.1455078125,16.4873046875,22152,9.629613463692952,6881.135401539557,0,1
58621,57237,0.3690461633244383,54,79,5,port_scan,True,False,0.052734375,0.0771484375,133,10.659931561025285,283.5541795232726,0,0
2102,8080,0.7187475621097954,144,665,2,c2_beacon,True,False,0.140625,0.6494140625,809,2.442755365092369,988.0945451798631,0,0
32759,8443,0.4360593758605193,188,762,8,c2_beacon,True,False,0.18359375,0.744140625,950,14.923719946429163,1772.191743638463,0,0
23111,8080,0.572847794579228,170,470,5,c2_beacon,True,False,0.166015625,0.458984375,640,7.4311011201676,951.1809433814528,0,0
62716,8080,0.7008762614876677,283,605,2,c2_beacon,True,False,0.2763671875,0.5908203125,888,2.497264678921685,1108.7855174412282,0,0
29054,80,3.4105759454232096,8788,8958,28,benign,False,True,8.58203125,8.748046875,17746,7.975899235709177,5055.010994174823,0,1
64801,39331,0.1259603182363928,132,162,4,port_scan,True,False,0.12890625,0.158203125,294,17.702223254152624,1301.1134091802178,0,0
8118,443,0.8512940763061112,130,379,8,c2_beacon,True,False,0.126953125,0.3701171875,509,8.409597199494941,535.0606218178657,0,1
2799,22,0.1554616015005274,361,183,5,brute_force,True,False,0.3525390625,0.1787109375,544,19.572413116613443,2129.4785470875427,0,1
