src_ip,dst_ip,src_port,dst_port,protocol,duration,bytes_sent,bytes_received,packets,label
172.26.53.97,35.124.183.235,42065,14147,tcp,0.28885562434360484,275,355,4,port_scan
172.16.12.11,90.225.90.247,48427,3389,tcp,1.4605754474843629,201,671,10,brute_force
172.24.14.98,206.42.179.5,48828,443,tcp,3.420831715577839,5019,7009,18,benign
192.168.90.82,158.187.150.177,3155,80,tcp,2.1062262043334212,3970,12590,22,benign
172.26.107.122,62.20.53.86,2723,445,tcp,0.963327544659019,704,535,4,brute_force
172.20.210.8,131.58.186.125,8253,22,tcp,0.5694678681686275,446,461,6,brute_force
192.168.37.142,139.120.83.183,33631,45567,tcp,0.09955597403226207,244,228,5,port_scan
172.16.100.181,8.201.123.55,59740,123,udp,1.0953511218810366,6073,15988,31,benign
172.28.206.190,17.238.171.175,57589,445,tcp,1.0441371836220124,979,745,6,brute_force
192.168.231.248,153.7.22.150,29504,3389,tcp,1.6631812138389592,212,94,8,brute_force
192.168.73.178,78.138.202.118,9938,445,tcp,0.4541803235623597,879,488,9,brute_force
172.21.157.197,26.175.0.212,15925,3389,tcp,1.4050391381383973,742,107,7,brute_force
10.252.63.4,7.192.121.120,19441,80,tcp,2.1611385293294374,4644,17796,31,benign
192.168.137.183,211.6.211.72,18320,445,tcp,0.8507100736188004,586,162,9,brute_force
10.222.96.16,20.176.195.82,11675,80,tcp,2.035830998854856,7707,5237,21,benign
192.168.106.40,105.166.49.13,34421,9697,tcp,0.29232965607680284,206,45,1,port_scan
172.29.49.137,162.208.29.143,64733,445,tcp,0.649341212204283,460,328,3,brute_force
172.27.202.43,89.181.204.193,30655,443,udp,2.90203312894844,10187,18382,42,benign
10.253.227.183,158.53.41.186,43416,15251,tcp,0.278388549652348,44,48,4,port_scan
10.113.238.15,19.181.86.195,61688,58910,tcp,0.21470058265590752,58,109,4,port_scan
172.19.220.194,7.242.49.63,49939,5603,tcp,0.13517346560256135,299,286,2,port_scan
192.168.4.107,217.67.10.171,33619,53,udp,2.713613727260846,8121,10458,29,benign
172.29.124.227,62.146.139.220,14809,15825,tcp,0.18011675122264556,69,250,2,port_scan
10.209.127.223,202.9.128.9,42697,22,tcp,0.9970923224856559,435,553,5,brute_force
10.147.94.104,67.66.141.140,20017,8443,tcp,0.5603096687952377,143,330,5,c2_beacon
172.31.27.125,48.234.30.231,54189,29538,tcp,0.24704968822782924,180,35,4,port_scan
172.22.93.50,137.27.40.7,6379,443,udp,2.3530730699468014,1598,4029,8,benign
192.168.67.32,47.148.251.91,27333,3389,tcp,0.8889579655070814,530,152,8,brute_force
192.168.4.154,166.203.107.118,14191,53,udp,3.707864748849521,4621,13245,25,benign
10.141.219.68,42.83.210.97,50924,3389,tcp,0.592048997456011,755,627,10,brute_force
172.18.98.219,182.52.244.67,2029,443,tcp,2.8415307808072208,5611,19147,34,benign
192.168.231.248,153.7.22.150,12568,3389,tcp,0.38416721588975045,880,55,10,brute_force
10.99.103.77,193.113.148.63,29837,123,tcp,4.169127249529801,5208,2838,13,benign
192.168.110.223,129.196.249.163,53409,443,udp,3.115716400949071,7096,10923,27,benign
10.35.3.17,105.6.128.190,34479,80,udp,1.7910259860620592,5685,12409,26,benign
10.156.106.170,112.248.152.39,9971,443,tcp,2.9251110960846076,2502,5889,12,benign
10.166.209.151,211.248.125.52,27649,8443,tcp,0.40240798205320083,392,271,8,c2_beacon
192.168.18.252,22.231.156.208,47583,22,tcp,1.5001269090051572,612,483,10,brute_force
192.168.226.64,136.37.84.44,63610,35255,tcp,0.21948335802207497,121,278,1,port_scan
172.25.200.168,5.88.62.155,25933,55173,tcp,0.375032542783215,148,342,3,port_scan
172.29.106.103,129.252.77.149,26705,443,tcp,1.9670688477209664,3509,2198,9,benign
192.168.49.228,63.87.132.102,49118,16929,tcp,0.22568787328906026,162,173,1,port_scan
172.16.142.120,110.2.57.204,45998,443,udp,4.149812234067512,5765,10699,24,benign
172.16.184.230,165.191.0.133,7351,443,udp,2.468350500882377,388,1412,3,benign
172.16.168.188,171.172.140.194,43795,3389,tcp,0.6210082528489334,885,539,8,brute_force
10.15.228.248,103.192.48.55,54672,53,tcp,3.119236173588998,5269,16883,31,benign
10.56.188.91,156.108.77.114,58621,57237,tcp,0.36904616332443835,54,79,5,port_scan
192.168.89.169,213.99.173.38,2102,8080,tcp,0.7187475621097954,144,665,2,c2_beacon
10.88.197.112,8.10.51.95,32759,8443,tcp,0.43605937586051935,188,762,8,c2_beacon
172.28.44.247,105.139.116.210,23111,8080,tcp,0.572847794579228,170,470,5,c2_beacon
192.168.24.13,195.238.231.100,62716,8080,tcp,0.7008762614876677,283,605,2,c2_beacon
192.168.180.158,203.189.5.60,29054,80,udp,3.4105759454232096,8788,8958,28,benign
192.168.54.109,150.10.31.70,64801,39331,tcp,0.1259603182363928,132,162,4,port_scan
10.52.123.233,187.22.191.178,8118,443,tcp,0.8512940763061112,130,379,8,c2_beacon
10.49.33.29,114.209.26.172,2799,22,tcp,0.15546160150052746,361,183,5,brute_force
10.210.147.150,18.73.224.208,13291,80,tcp,3.7099101133840815,6442,13100,28,benign
10.222.251.47,70.148.184.14,33682,53,udp,4.267217972750214,2440,14728,22,benign
192.168.200.210,206.225.165.143,11376,123,tcp,3.6651921398812215,9306,3670,22,benign
192.168.160.248,25.113.175.213,16496,22,tcp,0.982429640757188,599,557,9,brute_force
172.23.211.144,47.44.109.35,30434,34879,tcp,0.03671130816848012,277,116,2,port_scan
172.24.82.152,186.101.78.243,50223,443,tcp,0.194467926156286,217,532,7,c2_beacon
192.168.209.40,54.73.255.105,24294,2044,tcp,0.2447231819056842,71,363,1,port_scan
10.88.197.112,8.10.51.95,53333,8443,tcp,0.2507831326458489,215,734,7,c2_beacon
172.31.153.145,31.45.233.177,41914,80,tcp,4.413751948939793,2027,10768,17,benign
172.25.171.149,190.30.16.105,62659,10424,tcp,0.26861850197132114,218,138,3,port_scan
172.20.210.8,131.58.186.125,31262,22,tcp,0.632709116241607,223,349,2,brute_force
192.168.74.63,18.138.20.181,32546,80,tcp,3.2841290371014398,1640,5901,10,benign
10.79.189.31,91.153.136.156,15576,80,udp,1.7165254855225716,760,4038,6,benign
192.168.95.42,95.207.196.88,33630,22,tcp,1.0126620539661566,754,324,7,brute_force
10.79.73.120,100.248.240.81,63503,3389,tcp,1.1143941197058957,406,596,9,brute_force
172.16.12.11,90.225.90.247,22798,3389,tcp,1.133662714816773,712,585,10,brute_force
192.168.219.197,1.233.99.253,40394,445,tcp,0.967989654432154,931,511,7,brute_force
10.155.81.201,218.125.239.173,33065,22,tcp,0.9128558807164626,866,328,2,brute_force
192.168.77.242,183.234.98.94,26338,80,tcp,2.4404735195926643,6320,8105,22,benign
192.168.89.169,213.99.173.38,20894,8080,tcp,0.1806728711734371,87,633,4,c2_beacon
10.118.216.211,2.177.173.148,55579,8080,tcp,0.7060887867466359,273,583,4,c2_beacon
172.29.112.122,33.135.14.56,1559,8080,tcp,0.3788348780724988,245,313,2,c2_beacon
10.229.162.32,128.148.252.208,35082,53,tcp,2.2462686020811926,278,7330,9,benign
192.168.150.85,76.248.252.155,42929,445,tcp,1.2087410046484086,607,699,10,brute_force
10.170.1.240,103.53.227.48,41494,445,tcp,1.258282356438583,650,607,2,brute_force
