pid,ppid,name,path,user,company,signed,num_modules,num_unsigned_modules,num_rwx_regions,avg_entropy,has_network_connection,num_connections,listening_ports,high_entropy_strings,cpu_usage,memory_usage_mb,label
1147,360,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,48,1,0,5.46,True,8,0,2,2.67,160.5,benign
1180,336,explorer.exe,C:\Windows\explorer.exe,NT AUTHORITY\USER,Microsoft,True,23,2,0,5.3,True,7,0,3,4.8,116.8,benign
1219,771,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,52,1,0,5.16,True,8,1,1,6.41,109.1,benign
1695,690,svchost.exe,C:\Users\User\AppData\Roaming\svchost.exe,NT AUTHORITY\USER,Unknown,False,20,8,7,8.22,False,0,2,50,64.06,187.4,ransomware_like
1514,233,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,18,0,1,5.62,False,0,2,3,2.56,131.4,benign
1067,419,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,34,3,1,5.66,False,0,0,0,5.19,151.3,benign
1578,855,explorer.exe,C:\Windows\explorer.exe,NT AUTHORITY\USER,Microsoft,True,33,2,0,5.15,False,0,0,2,6.44,199.6,benign
1170,390,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,76,0,1,5.32,False,0,1,2,5.69,110.7,benign
1492,948,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,29,1,1,5.45,True,2,0,3,6.04,215.7,benign
1047,710,lsass.exe,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,Microsoft,True,53,1,1,5.67,False,0,2,0,2.46,177.5,benign
1120,207,explorer.exe,C:\Windows\explorer.exe,NT AUTHORITY\USER,Microsoft,True,66,2,1,4.67,False,0,0,2,6.46,70.2,benign
1462,693,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,64,3,0,6.17,True,3,0,0,1.96,136.0,benign
1496,436,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,51,0,1,5.52,True,4,0,1,3.77,109.2,benign
1071,407,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,45,0,0,5.04,True,2,0,1,4.88,102.5,benign
1136,204,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,15,2,0,5.86,False,0,0,0,3.5,83.5,benign
1407,429,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,56,3,1,5.68,True,1,2,0,3.85,184.6,benign
